# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session imported from “Hotspot+Block1.txt”	1	PMC	128.0000	128.0000	202.4723	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-06	10:38:38.634	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	6.8525
Sample 2	Session imported from “Hotspot+Block1.txt”	2	PMC	128.0000	128.0000	202.4723	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-06	10:38:59.661	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	9.1366
Sample 3	Session imported from “Hotspot+Block1.txt”	3	PMC	128.0000	128.0000	202.4723	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-06	10:39:00.677	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	14.8470
Sample 4	Session imported from “Hotspot+Block1.txt”	4	PMC	172.8991	127.8185	187.5337	-0.6812	0.4754	0.5567	-0.4570	-0.8702	0.1839	0.5719	-0.1291	0.8101	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-06	10:40:50.382	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	121.0603
Sample 5	Session imported from “Hotspot+Block1.txt”	5	Sample 4	173.1899	128.2756	187.4998	-0.6516	0.5643	0.5070	-0.5053	-0.8213	0.2648	0.5658	-0.0836	0.8203	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-06	10:41:06.340	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	159.8909
Sample 6	Session imported from “Hotspot+Block1.txt”	6	Sample 4	178.9427	138.5078	186.2302	-0.6530	0.5748	0.4931	-0.4769	-0.8179	0.3218	0.5883	-0.0250	0.8083	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-06	10:41:10.749	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 7	Session imported from “Hotspot+Block1.txt”	7	Sample 4	183.8751	131.6180	181.3953	-0.6140	0.5959	0.5175	-0.4851	-0.8022	0.3482	0.6226	-0.0372	0.7816	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-06	10:41:15.868	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	142.7597
Sample 8	Session imported from “Hotspot+Block1.txt”	8	Sample 7	183.7285	131.8755	181.5640	-0.5974	0.6155	0.5141	-0.5020	-0.7869	0.3588	0.6254	-0.0437	0.7791	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-06	10:41:32.970	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	103.9291
Sample 9	Session imported from “Hotspot+Block1.txt”	9	Sample 7	188.4466	138.3742	179.9754	-0.6074	0.6011	0.5193	-0.4717	-0.7989	0.3730	0.6391	-0.0184	0.7689	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-06	10:41:37.450	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	30.8361
Sample 10	Session imported from “Hotspot+Block1.txt”	10	Sample 7	192.1278	135.2891	176.6140	-0.5715	0.6238	0.5332	-0.4804	-0.7811	0.3988	0.6653	-0.0282	0.7461	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-06	10:41:41.680	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	34.2623
