# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 295	Session imported from “Block2.txt”	295	PSCrev2.5	176.4620	199.5446	165.9872	0.0795	0.9944	0.0697	-0.8214	0.0257	0.5697	0.5647	-0.1025	0.8189	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-01	11:45:05.805	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	5.7104
Sample 296	Session imported from “Block2.txt”	296	PSCrev2.5	181.0389	147.8319	190.1048	0.0108	0.9940	0.1093	-0.8405	-0.0502	0.5395	0.5417	-0.0977	0.8349	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-01	11:45:57.438	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	6.8525
Sample 297	Session imported from “Block2.txt”	297	PSCrev2.5	180.9104	147.9078	190.1881	0.0102	0.9936	0.1121	-0.8398	-0.0524	0.5404	0.5429	-0.0997	0.8339	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-01	11:45:58.036	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	6.8525
Sample 298	Session imported from “Block2.txt”	298	PSCrev2.5	181.1815	147.7157	190.0019	0.0127	0.9936	0.1125	-0.8391	-0.0506	0.5417	0.5439	-0.1013	0.8330	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-01	11:45:58.538	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	5.7104
Sample 299	Session imported from “Block2.txt”	299	PSCrev2.5	181.1989	147.6934	189.9881	0.0147	0.9932	0.1153	-0.8396	-0.0504	0.5408	0.5430	-0.1048	0.8332	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-01	11:45:59.137	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	6.8525
Sample 300	Session imported from “Block2.txt”	300	PSCrev2.5	181.2384	147.6319	189.9556	0.0132	0.9932	0.1154	-0.8388	-0.0518	0.5419	0.5442	-0.1040	0.8325	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-01	11:45:59.638	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	7.9945
Sample 301	Session imported from “Block2.txt”	301	PSCrev2.5	181.2792	147.8346	189.9514	0.0141	0.9930	0.1176	-0.8381	-0.0524	0.5430	0.5453	-0.1062	0.8315	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-01	11:46:00.238	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	5.7104
Sample 302	Session imported from “Block2.txt”	302	PSCrev2.5	180.9621	147.8329	190.1499	0.0137	0.9930	0.1175	-0.8357	-0.0531	0.5466	0.5490	-0.1057	0.8291	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-01	11:46:00.837	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	6.8525
Sample 303	Session imported from “Block2.txt”	303	PSCrev2.5	180.9331	147.6679	190.1496	0.0149	0.9930	0.1171	-0.8353	-0.0520	0.5473	0.5496	-0.1060	0.8287	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-01	11:46:01.338	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	9.1366
Sample 304	Session imported from “Block2.txt”	304	PSCrev2.5	180.8764	147.8919	190.2064	0.0156	0.9921	0.1248	-0.8351	-0.0557	0.5473	0.5499	-0.1128	0.8276	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-01	11:46:11.340	TTL1	APcoil	0.0000	(null)	1	10.0000	90.0000	7.9945
