# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session imported from “Hotspot+Block1.txt”	1	PMC3	128.0000	128.0000	207.9386	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	11:01:55.642	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	10.2787
Sample 2	Session imported from “Hotspot+Block1.txt”	2	PMC3	176.9299	142.3936	193.2292	-0.7685	0.5851	0.2590	-0.4200	-0.7666	0.4857	0.4827	0.2645	0.8349	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	11:02:54.256	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	60.5301
Sample 3	Session imported from “Hotspot+Block1.txt”	3	PMC3	190.1015	145.1704	183.7511	-0.6252	0.7034	0.3383	-0.4643	-0.6836	0.5632	0.6274	0.1950	0.7539	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	11:03:07.128	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	39.9727
Sample 4	Session imported from “Hotspot+Block1.txt”	4	PMC3	182.8424	134.8189	190.0362	-0.6222	0.6987	0.3532	-0.4819	-0.6973	0.5305	0.6170	0.1599	0.7706	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	11:03:11.930	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	35.4044
Sample 5	Session imported from “Hotspot+Block1.txt”	5	PMC3	182.0418	125.3912	190.7626	-0.6362	0.6798	0.3649	-0.4614	-0.7143	0.5263	0.6184	0.1664	0.7681	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	11:03:21.727	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	27.4099
Sample 6	Session imported from “Hotspot+Block1.txt”	6	PMC3	174.2190	141.3597	195.2933	-0.7205	0.6320	0.2854	-0.4259	-0.7281	0.5372	0.5473	0.2655	0.7937	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	11:04:07.161	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	36.5465
Sample 7	Session imported from “Hotspot+Block1.txt”	7	PMC3	186.2411	140.8537	187.2572	-0.6270	0.7044	0.3327	-0.4610	-0.6798	0.5705	0.6280	0.2043	0.7509	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	11:04:17.920	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	19.4153
Sample 8	Session imported from “Hotspot+Block1.txt”	8	PMC3	177.2253	131.9834	193.9055	-0.5695	0.7628	0.3062	-0.5195	-0.6227	0.5850	0.6370	0.1741	0.7510	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	11:04:26.881	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	18.2732
Sample 9	Session imported from “Hotspot+Block1.txt”	9	PMC3	180.1867	144.8015	190.5884	-0.6392	0.7205	0.2689	-0.4781	-0.6462	0.5949	0.6024	0.2517	0.7575	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	11:04:50.741	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	14.8470
Sample 10	Session imported from “Hotspot+Block1.txt”	10	PMC3	193.9755	140.7785	180.1917	-0.6137	0.7447	0.2621	-0.4904	-0.6198	0.6127	0.6187	0.2475	0.7456	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-09	11:04:57.823	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	13.7049
