# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session imported from “Hotspot+Block1.txt”	1	PSC	128.0000	128.0000	205.6937	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-03	10:50:22.022	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	7.9945
Sample 2	Session imported from “Hotspot+Block1.txt”	2	PSC	172.6804	92.5840	180.6715	-0.6130	0.6681	0.4217	-0.6423	-0.7322	0.2263	0.4600	-0.1321	0.8780	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-03	10:51:35.876	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	10.2787
Sample 3	Session imported from “Hotspot+Block1.txt”	3	PSC	168.3366	89.4894	183.1886	-0.6490	0.5605	0.5145	-0.5573	-0.8105	0.1800	0.5179	-0.1700	0.8384	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-03	10:51:48.247	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	9.1366
Sample 4	Session imported from “Hotspot+Block1.txt”	4	PSC	172.0739	82.8053	176.5953	-0.6762	0.4750	0.5631	-0.4873	-0.8617	0.1417	0.5525	-0.1786	0.8141	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-03	10:51:59.548	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	10.2787
Sample 5	Session imported from “Hotspot+Block1.txt”	5	PSC	164.4540	79.7174	181.3017	-0.6782	0.5261	0.5131	-0.5176	-0.8376	0.1747	0.5217	-0.1471	0.8404	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-03	10:52:06.098	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	6.8525
Sample 6	Session imported from “Hotspot+Block1.txt”	6	PSC	178.2912	95.0190	176.1956	-0.6608	0.5218	0.5394	-0.5206	-0.8364	0.1714	0.5406	-0.1676	0.8244	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-03	10:52:15.472	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	9.1366
Sample 7	Session imported from “Hotspot+Block1.txt”	7	PSC	174.8254	101.5121	181.8392	-0.6225	0.5887	0.5157	-0.5974	-0.7831	0.1728	0.5056	-0.2005	0.8392	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-03	10:52:26.884	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	9.1366
Sample 8	Session imported from “Hotspot+Block1.txt”	8	PSC	181.9824	99.0596	173.9164	-0.6738	0.4810	0.5609	-0.5081	-0.8527	0.1208	0.5364	-0.2036	0.8190	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-03	10:52:35.659	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	13.7049
Sample 9	Session imported from “Hotspot+Block1.txt”	9	PSC	170.2134	98.2282	185.1233	-0.6572	0.5104	0.5546	-0.5314	-0.8356	0.1393	0.5345	-0.2032	0.8204	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-03	10:52:42.333	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	14.8470
Sample 10	Session imported from “Hotspot+Block1.txt”	10	PSC	173.3263	81.3060	174.5739	-0.6683	0.4832	0.5656	-0.5313	-0.8422	0.0917	0.5207	-0.2392	0.8196	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-11-03	10:52:50.022	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	10.2787
